,string,label,clause1,operator,clause2
124,g = MH_rp,0,0,6,0
125,_ = KYQVJxwocR,0,0,6,0
126,PVvN > gSYB_,0,0,2,0
127,wywYO_ = g_sK_cM,0,0,6,0
128,pkAfSp = _xdDNTi,0,0,6,0
129,TXYbFnEmw <= Y_TVz_ng,0,0,5,0
130,ntlO_Grye <= LP_E,0,0,5,0
131,QLE_o_ < Y,0,0,3,0
132,g_Y_aZy_Ig > Dii,0,0,2,0
133,b_kq_kJBLQ <= _PScEVL__Z,0,0,5,0
134,T <= _vDjc_,0,0,5,0
135,E__PmnJ__i < qiMdxby,0,0,3,0
136,yy__ >= g_lg_,0,0,4,0
137,q_ = PBL,0,0,6,0
138,mfJC <= __Z_cD,0,0,5,0
139,yDQmM > df,0,0,2,0
140,ujleeQtnn > FmgTrS_,0,0,2,0
141,KggJVC <= wfs,0,0,5,0
142,A_FU <= _fvX,0,0,5,0
143,mUldeGmLI <= dkjVLCb,0,0,5,0
144,OiC_ > GgQTn__i_,0,0,2,0
145,uDEnUP <= pES_W___w,0,0,5,0
146,XbBC <= DwzzZqqq,0,0,5,0
147,JXaDO_dhA > KHJ,0,0,2,0
148,WLF_a <= Itk,0,0,5,0
149,E < DCJ,0,0,3,0
150,_ >= m__lfcI,0,0,4,0
151,_mLQ_viR <= IJ_oBIyE,0,0,5,0
152,jTAh_ahOOM = pBxq,0,0,6,0
153,pv > rGGEezEx,0,0,2,0
154,HTwrb_OuFA <= yojL,0,0,5,0
155,G_b_ >= kQ_FI_,0,0,4,0
156,W_ > ycpaM__IeK,0,0,2,0
157,f >= OtwFgUq,0,0,4,0
158,w_PAY >= HA_iAyZUxa,0,0,4,0
159,o_l < MqTjI_C_s,0,0,3,0
160,Iz_pud >= OpUoIUG,0,0,4,0
161,z < o__i,0,0,3,0
162,hEZX >= NLGt,0,0,4,0
163,LGbTUYu > F_,0,0,2,0
164,mk = CH_SMSD__U,0,0,6,0
165,syoh_iku_h < HLXhaNVNe,0,0,3,0
166,DIQWeAHVXm <= _,0,0,5,0
167,NRZZ < kT_xo_po,0,0,3,0
168,VcLYABg >= Z,0,0,4,0
169,_Qdz > rskiiDobS,0,0,2,0
170,xeLIRQoSU < S,0,0,3,0
171,ENKbuxv <= _kV___LD,0,0,5,0
172,of <= KwrCtIOXg,0,0,5,0
173,Q = qTHRl,0,0,6,0
174,EnyB_Yb >= Y,0,0,4,0
175,pHui_Pex = Fl,0,0,6,0
176,_YZi_vbZ >= Ik_qX,0,0,4,0
177,EWotDnR >= s_,0,0,4,0
178,Uiy > _,0,0,2,0
179,CPodmtaHo = XmQ_g___,0,0,6,0
180,r_D_Muo < QGv,0,0,3,0
181,L >= l,0,0,4,0
182,_MzsF_GTU_ > iRA_sSahCz,0,0,2,0
183,Da_r < s,0,0,3,0
184,_Zk < Lhdxi,0,0,3,0
185,_aUrv < PPC_fcMeNH,0,0,3,0
186,iYOQ__ < xSoUNL,0,0,3,0
187,rBNWUiRE < cL_arC_KF,0,0,3,0
188,_EO_H_X = LAxhnwvQw,0,0,6,0
189,pd_Vqwa_ >= __lNkUs,0,0,4,0
190,t_zFMBd > _sUJZnv_ep,0,0,2,0
191,WT < _plsL_kp,0,0,3,0
192,yV_vt_ubRo < _,0,0,3,0
193,A > tirQX,0,0,2,0
194,_JTrV_J > kpN_uO,0,0,2,0
195,ArYkEdnwA >= k,0,0,4,0
196,uW >= mCNT_,0,0,4,0
197,XObILqeKd <= sbvc,0,0,5,0
198,C >= TmV_cr_COm,0,0,4,0
199,E = _,0,0,6,0
200,ITJk = qbV_HKegr,0,0,6,0
201,HBnx > qSbq,0,0,2,0
202,ZOPz_ad_p = k__,0,0,6,0
203,__jhcl_x_ < zu__EldK_,0,0,3,0
204,z_YwM_I <= h,0,0,5,0
205,ULT_Pq >= sTcG_WRHSj,0,0,4,0
206,c_fJg_ < pYdWL_ey,0,0,3,0
207,ePbxst <= __OMnBMV,0,0,5,0
208,_J <= qrMEZBv,0,0,5,0
209,gaBqsgIhp < ihC,0,0,3,0
210,_j_TDX <= U,0,0,5,0
211,tCpVX <= I_BB,0,0,5,0
212,gS_FrJNW >= bUg,0,0,4,0
213,LYY = c,0,0,6,0
214,SlUdSXc > _Le,0,0,2,0
215,G__Ya_oX < _,0,0,3,0
216,ZX_Jld = fPpD,0,0,6,0
217,A_wyOA_GM < H__cjyaV_I,0,0,3,0
218,vFGgxx >= BnuPlX,0,0,4,0
219,vbChtJ >= ZNNnPBWa_,0,0,4,0
220,QXd_ >= fn__UZcmc_,0,0,4,0
221,l_re <= _YxGZBunL,0,0,5,0
222,pXKVwd_B = Bd_DR,0,0,6,0
223,ts_Dsx_YG_ = qWLGnZP,0,0,6,0
224,RpJ <= CXq_,0,0,5,0
225,vlK_ <= svylUwITa,0,0,5,0
226,_kGG >= NFlEg__soW,0,0,4,0
227,LxTEK = _NkIrV,0,0,6,0
228,kau_ >= uhA,0,0,4,0
229,_CTa_Pr_ <= _GBS,0,0,5,0
230,_on < aipGV_p,0,0,3,0
231,rDYM_C_ = __,0,0,6,0
232,_Yh_ < rm,0,0,3,0
233,wKZ_ <= PWnjTf,0,0,5,0
234,iqV >= oqYfPN,0,0,4,0
235,W__ > sqE_MFUp_S,0,0,2,0
236,_d >= FEOB,0,0,4,0
237,MdfB_PU < XSsJ,0,0,3,0
238,faivQWIN_ >= _LJhBk,0,0,4,0
239,hp_pAShjC >= _,0,0,4,0
240,tR = wajzCO_Dta,0,0,6,0
241,aOQz_G_l <= Pbg,0,0,5,0
242,DskiKN_p_Q = _T_F,0,0,6,0
243,_cxGxEhY_ = t,0,0,6,0
244,jJye_yAox > _,0,0,2,0
245,_dh_GnV = N_Kzn_EL,0,0,6,0
246,W_g < Bkd,0,0,3,0
247,mrCrGZl = jnllH,0,0,6,0
248,vjJMP >= b_Ab_gEm,0,0,4,0
249,O < qdf_m_v,0,0,3,0
250,DfnYS_dU < nqzK_C,0,0,3,0
251,b_QY >= N_z_Qtu,0,0,4,0
252,b_CyGaS_tb = _vD,0,0,6,0
253,mc < m,0,0,3,0
254,_ <= m,0,0,5,0
255,HR <= jobD_ze_w,0,0,5,0
256,_m <= _g,0,0,5,0
257,xYQjmU_o_ < ARB_vS,0,0,3,0
258,TV <= ULUcVj,0,0,5,0
259,PoosaTEJ < gSo,0,0,3,0
260,mDVAsgvOSO <= KZ_whgTs,0,0,5,0
261,dqJG_aKvf >= D,0,0,4,0
262,_h__yUkc_T > hrFMU,0,0,2,0
263,jcldqnG__ < g_OCoBPl,0,0,3,0
264,__TiV_vPA < hV_N,0,0,3,0
265,JHqLF_vOE <= SFCG,0,0,5,0
266,kEHUHaV > U__gag_,0,0,2,0
267,q_NPiayPB < oDjDNd,0,0,3,0
268,_XEip >= H,0,0,4,0
269,aCi_BW > ots,0,0,2,0
270,T_i_mhD_Tu = VOBK_b,0,0,6,0
271,SG_wQe < Krbt_uOaH_,0,0,3,0
272,AP < _znFP,0,0,3,0
273,hYMStkMx >= BNW_TC,0,0,4,0
274,_jrUsYqHa < iT,0,0,3,0
275,_z >= B,0,0,4,0
276,csnS = MejUdHAHLT,0,0,6,0
277,fm_BAIQdEu < _,0,0,3,0
278,l_ < Bc_bZhP_,0,0,3,0
279,xNRngw >= akQDNMol,0,0,4,0
280,L_sY = ifR,0,0,6,0
281,UA_rsocpur < PFZ,0,0,3,0
282,YH >= r,0,0,4,0
283,Ujsp < _,0,0,3,0
284,oYez < Sffbl_scr,0,0,3,0
285,_eV_ <= _,0,0,5,0
286,sx_aN_F_V > J_fRK__,0,0,2,0
287,V <= k,0,0,5,0
288,fjD > U_Vcf_D_D,0,0,2,0
289,cTYvG >= _o,0,0,4,0
290,Ef_S > J,0,0,2,0
291,EsN_z > DyJB_ITR,0,0,2,0
292,WQL >= yfDocfWks,0,0,4,0
293,VoGGVuM_E < ejo_Lt,0,0,3,0
294,YeYV_E_a > ICglInCK,0,0,2,0
295,_ <= qeOSrqzzMj,0,0,5,0
296,M_UWPAn = gUcIb,0,0,6,0
297,Jy__iuntxB = hjw,0,0,6,0
298,KoYGOfYK >= C,0,0,4,0
299,lAC_Wg <= y,0,0,5,0
300,mj > s_mRn,0,0,2,0
301,KF < T,0,0,3,0
302,COJ >= w,0,0,4,0
303,xYF_GSNF_v < oE,0,0,3,0
304,LATW = n__vL_fZ,0,0,6,0
305,_Wsi <= EErZ,0,0,5,0
306,mpT_ = qsDw,0,0,6,0
307,k_ > fi_,0,0,2,0
308,AKcHhq_K >= H,0,0,4,0
309,fTNc_hya >= IZzDBsP,0,0,4,0
310,gTdY_PkfkX >= YvF_jh,0,0,4,0
311,_UdStr = __Clh_,0,0,6,0
312,bRbYv___Eu <= SgAJ_X,0,0,5,0
313,j_E <= r,0,0,5,0
314,QgoDhRV < L,0,0,3,0
315,iEGxUU >= Qj,0,0,4,0
316,hmbs_ <= _Bz_,0,0,5,0
317,wtJymE__L_ <= iE,0,0,5,0
318,oP >= _KWRD_QxH,0,0,4,0
319,wNZ__hDiO = _qZ,0,0,6,0
320,_iyt > u,0,0,2,0
321,hirsm_ >= HK_m__,0,0,4,0
322,PLuPugmc <= _saM,0,0,5,0
323,FtAn_ = xg_sMq,0,0,6,0
324,Hnv_AP < A,0,0,3,0
325,mSn > lHNL_,0,0,2,0
326,_yv_QCTVW_ > ocNBDZje,0,0,2,0
327,_M_L_ui_ > W,0,0,2,0
328,qC = GLaek,0,0,6,0
329,wb_NL_K < _Nh,0,0,3,0
330,b_xMZ < KhvOIDWLpv,0,0,3,0
331,G <= LYpzvjxJp,0,0,5,0
332,KQWIR = vpYesLor_K,0,0,6,0
333,Vyv > _CTPV__LXR,0,0,2,0
334,_ecEKF_k_ <= b,0,0,5,0
335,NlK >= Q,0,0,4,0
336,_ <= nk_M,0,0,5,0
337,npeK = ithQDNBP,0,0,6,0
338,n_DAKk_nou > b_Kjy,0,0,2,0
339,FwBW_ >= _,0,0,4,0
340,U = a,0,0,6,0
341,S_fxejClXP < DEo_o,0,0,3,0
342,_ <= IDf_eYp,0,0,5,0
343,Ei_oD__Ss < m_xaPV,0,0,3,0
344,sz <= dbVBvD_,0,0,5,0
345,t < AsW_caFxKp,0,0,3,0
346,oH >= oteoljG_,0,0,4,0
347,X >= AGjdYGO_M,0,0,4,0
348,NM = S_x_Dh,0,0,6,0
349,CSOccQ_ = DNgZAOP,0,0,6,0
350,agEq__bZ <= sujxfi,0,0,5,0
351,_VnBr_ > mOGRvIrmhv,0,0,2,0
352,uNHPR_ <= _fZDh,0,0,5,0
353,LI <= FLf_GjA,0,0,5,0
354,TWTZL_vh < _JzlEJ_m,0,0,3,0
355,_ >= c,0,0,4,0
356,WSqR > Xa_Ryj_iU,0,0,2,0
357,ryCrjJ = Ts_Ld,0,0,6,0
358,ZU_X_XLp >= _dLmjD,0,0,4,0
359,IcXxx_w > _ImtNi_,0,0,2,0
360,uOj_FPrGJ > _mZJVwxF,0,0,2,0
361,U__vg > g,0,0,2,0
362,ljud > ufAIxZf_,0,0,2,0
363,F__QC >= _Kd__sizf,0,0,4,0
364,mCsW__BX_ <= lBX_Z,0,0,5,0
365,K__D >= GE_o,0,0,4,0
366,H < GbbUxpb,0,0,3,0
367,_lOvrALG = sF_,0,0,6,0
368,xMzQY = vr_LTpKhNb,0,0,6,0
369,cwOw = B,0,0,6,0
370,_qS = C_oQR,0,0,6,0
371,gZv >= hHejb,0,0,4,0
372,Y > AB_NKTOk,0,0,2,0
373,JcouDpsjd_ > _rthEAGk_,0,0,2,0
374,UlBdt_J = QYPd,0,0,6,0
375,nut___W >= vZdkHNWyr,0,0,4,0
376,q_SsoVYQL <= oJrHwWBWX,0,0,5,0
377,ZZ__ < iaUBEFvfb,0,0,3,0
378,m = XvFrK,0,0,6,0
379,EtI = Wwe,0,0,6,0
380,Fzi >= aUJe__,0,0,4,0
381,mVczP_l = lG,0,0,6,0
382,_Kca_ > E_YqN_Etow,0,0,2,0
383,DWrMevw_c >= _,0,0,4,0
384,__cPmzQs <= El,0,0,5,0
385,cj__DupMmF > XkJ,0,0,2,0
386,rylG > HgI_R,0,0,2,0
387,_ >= qjgPVZpDaa,0,0,4,0
388,Mw_BKfrsaV >= AdIwxB,0,0,4,0
389,aXBMRm = jj_dfG,0,0,6,0
390,JYP > kF,0,0,2,0
391,__Bi <= daHCHdrek,0,0,5,0
392,q_psjpmZBU = _g,0,0,6,0
393,m > oJlH_Hu,0,0,2,0
394,XxHPAIY_z <= __DdW,0,0,5,0
395,i >= lNDqW,0,0,4,0
396,xXur_b_ < Jyxw,0,0,3,0
397,_JLsdm = QG,0,0,6,0
398,A__lqTb > L_v,0,0,2,0
399,rUWXuMPFo_ >= _DQMx_fmnk,0,0,4,0
400,LKo >= kvaWl,0,0,4,0
401,w < e,0,0,3,0
402,ynd_NAMAJ > TzE,0,0,2,0
403,fw < aVx_z,0,0,3,0
404,IvS = _G_eSc,0,0,6,0
405,X_F_ = IeBU_Be_s,0,0,6,0
406,gtvMbFl_dI < YPCXRKk,0,0,3,0
407,_vAinDq_ >= NYKPiOMiit,0,0,4,0
408,mIC >= XF,0,0,4,0
409,y_WLS >= MWoa,0,0,4,0
410,eyTz >= KcW_J,0,0,4,0
411,j_ = bCuyb_Lys,0,0,6,0
412,_FAA <= g_zwaWc,0,0,5,0
413,gHF >= tvv,0,0,4,0
414,Yr_M >= AWhw_zHns,0,0,4,0
415,GwD >= kAxYnQw,0,0,4,0
416,_ikKvg < _,0,0,3,0
417,b > _gS_niCrz,0,0,2,0
418,Citns_bz >= _jy_,0,0,4,0
419,r_y_QoZT < GL,0,0,3,0
420,_pr < lOdm_y_R,0,0,3,0
421,dUJ > Ec,0,0,2,0
422,YesOerX >= BK_o_,0,0,4,0
423,fETQ <= e_hTDHITB,0,0,5,0
424,__PH_FXWZ = mHGTZB_Nl,0,0,6,0
425,T__ZoF < _p_pJtV,0,0,3,0
426,mWB_TuzO >= ylvCTvo,0,0,4,0
427,_b_N_ >= Qu_OjSP,0,0,4,0
428,JMT_BcyZk >= zT_lCB,0,0,4,0
429,TMjAZ <= cd,0,0,5,0
430,NRLhM_C > Lmy_R,0,0,2,0
431,rFRAbS < W,0,0,3,0
432,TdKKH = pYDWGjCB,0,0,6,0
433,POPOHa = Jgf_E_vsR,0,0,6,0
434,QG <= LfHtku,0,0,5,0
435,fsn > NqdbO_FDO,0,0,2,0
436,qBC < xds_PwUv_,0,0,3,0
437,dHOlzSV >= VaWbWXW,0,0,4,0
438,huXoM_IvV <= yqoUYk_A,0,0,5,0
439,wJZUL <= LPeoBHPJwg,0,0,5,0
440,Q_B < _,0,0,3,0
441,cUB >= A,0,0,4,0
442,akdJpKQO__ < _z,0,0,3,0
443,Adr__FnU <= hrFmvMd,0,0,5,0
444,ejrTe < Cmd_Kj,0,0,3,0
445,c_Otslt_ = FD_,0,0,6,0
446,X_hJU >= sq,0,0,4,0
447,yZxpKT >= yXtFJJh,0,0,4,0
448,s_TNv_i_ <= GWtVHfu,0,0,5,0
449,ad = YglrPLb,0,0,6,0
450,Uy = _wo_b_,0,0,6,0
451,uBm >= NEyJBv_L,0,0,4,0
452,LndQCb_ >= HbHf_lYH,0,0,4,0
453,sCh = s,0,0,6,0
454,Zd = sj,0,0,6,0
455,Kn = UzUiofleAM,0,0,6,0
456,Tqd >= S_JGU_,0,0,4,0
457,wndXD <= YYYEjdOe,0,0,5,0
458,Da_Fl < aJ_,0,0,3,0
459,iqIHV = CQ_HH,0,0,6,0
460,_JKbZjdK > RRYrLQh,0,0,2,0
461,Z <= C,0,0,5,0
462,iawfXSvw >= _e_jwXMUM,0,0,4,0
463,tmIqtXlM = BcRDZx__,0,0,6,0
464,lXjLjmIY < BXnTzr,0,0,3,0
465,tHJeihVE >= _v,0,0,4,0
466,LGVl > iMA_u_,0,0,2,0
467,Jk > T,0,0,2,0
468,pr_a__pAez = Cr_EKGLU,0,0,6,0
469,iyE_DaYF = NT,0,0,6,0
470,bW__iCEq_ = VsRnk,0,0,6,0
471,hg_E < IaRDax,0,0,3,0
472,rUHWTjeOc = IGehOeYB,0,0,6,0
473,x_ySs = _FE_xx,0,0,6,0
474,c_CVpzwQXY >= sVqSHUIk,0,0,4,0
475,y_w_LfRpim > gxPv_Z,0,0,2,0
476,M_g__ <= mfH__P_s,0,0,5,0
477,_Gu >= TGOLdG,0,0,4,0
478,IREzfIs_Z < P__,0,0,3,0
479,_W_BVXA <= en_,0,0,5,0
480,B >= Ecr,0,0,4,0
481,hyoOjNlL < YbZuZ_hnw,0,0,3,0
482,gU__lswQJ >= xa,0,0,4,0
483,JdB_xX = o,0,0,6,0
484,x >= hiH,0,0,4,0
485,xMgu >= _N,0,0,4,0
486,Oi > ci_u,0,0,2,0
487,gT_DHG = Ir_Sio_gn_,0,0,6,0
488,W = i_xoV_qN,0,0,6,0
489,VA_dZo_ >= ZA,0,0,4,0
490,V >= PhWBr,0,0,4,0
491,cyfv_uVI = o_k,0,0,6,0
492,bU_GP > To_NJUT_Ol,0,0,2,0
493,_dzI_ah_Hg < AJNmqn_X,0,0,3,0
494,yuP >= W,0,0,4,0
495,G > PNUMkKN,0,0,2,0
496,zdPQxNY_H <= MOw,0,0,5,0
497,AGeD_ <= rTqD,0,0,5,0
498,az_J_tlLg >= Rc,0,0,4,0
499,K_KS > W,0,0,2,0
500,fxzr_HMk_ > rPVcZvM_,0,0,2,0
501,EQ_CUIRD = tFkbZMqfG,0,0,6,0
502,sQgdgDIk > RHDSdabga,0,0,2,0
503,Zr >= dD,0,0,4,0
504,vNomePzX_G > N,0,0,2,0
505,Mw = uaiwd,0,0,6,0
506,nl < qvb__dsg,0,0,3,0
507,rGSE_p_B < S,0,0,3,0
508,R <= XltvpQrXa_,0,0,5,0
509,_HtY < HWH_WzJkY,0,0,3,0
510,_MBQRJs_eO <= __or_AZY,0,0,5,0
511,YbS < V_SLNr_XU,0,0,3,0
512,BZ <= R_lbyI,0,0,5,0
513,__TxVXkSS < J_aiF,0,0,3,0
514,v = Kg_kEzS,0,0,6,0
515,RczhRM < ClJvdvmIW,0,0,3,0
516,PliR = NDjFmSr,0,0,6,0
517,VVu__Jlel > AxYg_xR,0,0,2,0
518,Yr < PX_Em,0,0,3,0
519,FVq_ >= _VF__lbf,0,0,4,0
520,_QQ_iGAA = _mhnyQjDJ,0,0,6,0
521,ZALuaHBeA <= B_VfJUnP,0,0,5,0
522,b > wTVjswPz,0,0,2,0
523,zLB_mPnM < _VzXPL,0,0,3,0
524,GPj_wj_ <= _X,0,0,5,0
525,WW_t >= h__W_Wbm_e,0,0,4,0
526,ZeWmhBeXyW <= oU_bEkoudb,0,0,5,0
527,NRTqvwIT >= mq_ghuUQp,0,0,4,0
528,Domx_WmN_Q <= n_bXX,0,0,5,0
529,WfmgH_jO >= R,0,0,4,0
530,cWZxQkqni_ = l_H,0,0,6,0
531,_ > E,0,0,2,0
532,__ > aG,0,0,2,0
533,ukYw_fe_ >= S_in,0,0,4,0
534,vV_ >= zWGErIW,0,0,4,0
535,OD >= qVZarccc,0,0,4,0
536,rbJ_b <= xaZQ,0,0,5,0
537,RQwri < Umn__FjIj,0,0,3,0
538,L_KUv_PO >= jNve,0,0,4,0
539,Z_M < _i,0,0,3,0
540,Bm__bFAak <= JlFbax_u,0,0,5,0
541,sll = U,0,0,6,0
542,M < _QCAd,0,0,3,0
543,fWVozOfH_X > _y_UH,0,0,2,0
544,mGwgol = u_t,0,0,6,0
545,zZMIB >= UXN,0,0,4,0
546,afuT >= IMr,0,0,4,0
547,Yv_M_NWw < f_EyXt,0,0,3,0
548,K_VYezE_ye < _,0,0,3,0
549,u_B_JCtNab < k,0,0,3,0
550,_bHSlCz < l,0,0,3,0
551,cvYW = _fM_,0,0,6,0
552,IXh <= E,0,0,5,0
553,wrCTr_jfn = GnTgFY_TG,0,0,6,0
554,mB >= zMUsYS_,0,0,4,0
555,QxsAGhf_R = _,0,0,6,0
556,_dPz_Wmm <= qrf__V,0,0,5,0
557,__MwEC > i_qp,0,0,2,0
558,HlhF__ <= b,0,0,5,0
559,fHfSpp = ajhW,0,0,6,0
560,bUhQD < UUuIBniVT,0,0,3,0
561,_CU_RjVVk >= kkdwbCre,0,0,4,0
562,__EqEgQoQ < LWkB,0,0,3,0
563,Oh >= ZEJ,0,0,4,0
564,ETS_WG__lf < ENzNHN,0,0,3,0
565,UGOohg < M,0,0,3,0
566,PDRZVBJgU_ = i_Y_,0,0,6,0
567,bWHDl > ghkx__,0,0,2,0
568,OxQMGCyMTB >= k___potx_,0,0,4,0
569,_O = TESCmy_,0,0,6,0
570,_pdkp_ > SektZ,0,0,2,0
571,_Pf >= yL,0,0,4,0
572,_sz_s < iMC,0,0,3,0
573,gzvjg_Ggb >= BOh,0,0,4,0
574,Qh < RNGKl,0,0,3,0
575,XsmNGuEGhq = Ox_,0,0,6,0
576,a_ > kCBzi_Csg,0,0,2,0
577,XF_up <= _q_Zws,0,0,5,0
578,ut_PbmgN < y_VlAvJ,0,0,3,0
579,__UbzNd = M,0,0,6,0
580,kAX > _rb_f__,0,0,2,0
581,upxdbAYFy = z_w_z_,0,0,6,0
582,xXBvu < SToTn_QNAi,0,0,3,0
583,bpny_zUooj < QegLuy_TW,0,0,3,0
584,u <= piaKtaADg,0,0,5,0
585,_yPcj_Xzg = iNuP_DVs,0,0,6,0
586,aN_wom_T_F <= _ttX_,0,0,5,0
587,EjOK = XwoVK,0,0,6,0
588,TdheC < Mw_A,0,0,3,0
589,U_yl_juD = PrKyWariY,0,0,6,0
590,_wxgzP = TYrOnUld,0,0,6,0
591,q >= _,0,0,4,0
592,ES_L >= av_YWmGEI,0,0,4,0
593,N_S_QxrA = jW_GT,0,0,6,0
594,C__ < _g_iC,0,0,3,0
595,WV_e >= vynB,0,0,4,0
596,B_M > RavkgsIi,0,0,2,0
597,RCwefFK >= lIB,0,0,4,0
598,___qtO_F = v,0,0,6,0
599,EtNjR >= _,0,0,4,0
