,statement,encoding
73,vPNv**45@t=269 != HpuMmEmK_@t=760,"[3, 7, 4, 1, 4, 6, 3, 1, 4]"
74,"tAMo@t=(94,203)**3 > mean XFpe_@t=(647,826)","[3, 1, 5, 7, 4, 6, 2, 3, 1, 5]"
75,"Mqd_nmQ_@t=(159,652) == T_sVzaj**85@t=(734,892)","[3, 1, 5, 6, 3, 7, 4, 1, 5]"
76,"60+WMQ_L@t=(129,452) < Xg@t=983-41","[4, 7, 3, 1, 5, 6, 3, 1, 4, 7, 4]"
77,"56*qGSXZ_B_@t=668 >= Ontex*39@t=(153,327)","[4, 7, 3, 1, 4, 6, 3, 7, 4, 1, 5]"
78,7**ac@t=796 == 15/u_C@t=114,"[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 4]"
79,"YP@t=(478,862)*15 >= Pq@t=(53,842)","[3, 1, 5, 7, 4, 6, 3, 1, 5]"
80,"a@t=(219,671) <= 93/C_BAe@t=(542,949)","[3, 1, 5, 6, 4, 7, 3, 1, 5]"
81,R_q_RScB@t=378 > LWmt@t=898,"[3, 1, 4, 6, 3, 1, 4]"
82,"cV_ipw@t=540 > min Wc@t=(373,620)","[3, 1, 4, 6, 2, 3, 1, 5]"
83,"all _IDzso_e@t=(93,362) <= DPS@t=(114,832)","[2, 3, 1, 5, 6, 3, 1, 5]"
84,"m__Gv@t=(416,864)+0 > min tc_lSVD@t=(203,396)","[3, 1, 5, 7, 4, 6, 2, 3, 1, 5]"
85,"26-jxGgeQiq@t=(370,709) > Ne**11@t=(565,570)","[4, 7, 3, 1, 5, 6, 3, 7, 4, 1, 5]"
86,"vlyC@t=(41,981) > Pyi__iRQ@t=852","[3, 1, 5, 6, 3, 1, 4]"
87,"all dLIi_LZ@t=(316,803) <= 87/kuJmgV_O@t=568","[2, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
88,"mean n@t=(7,264) > _G__Qi@t=859/41","[2, 3, 1, 5, 6, 3, 1, 4, 7, 4]"
89,"Aa_t_tYwv@t=403 <= max F@t=(76,199)","[3, 1, 4, 6, 2, 3, 1, 5]"
90,"p@t=(745,945) > all Cz_@t=(589,633)","[3, 1, 5, 6, 2, 3, 1, 5]"
91,"JloV_bsnI@t=558 > mean sUVT_BhC_@t=(363,618)","[3, 1, 4, 6, 2, 3, 1, 5]"
92,"_TMc_g@t=14**94 != Ja_Ff_*89@t=(356,682)","[3, 1, 4, 7, 4, 6, 3, 7, 4, 1, 5]"
93,"_T@t=(218,393)+61 == ZFIa@t=624","[3, 1, 5, 7, 4, 6, 3, 1, 4]"
94,"A@t=(162,386)+36 < d__KZ@t=(166,657)","[3, 1, 5, 7, 4, 6, 3, 1, 5]"
95,"Z__yA@t=930*89 < max _ZFX@t=(717,922)","[3, 1, 4, 7, 4, 6, 2, 3, 1, 5]"
96,"R+84@t=(26,237) == gYT@t=250","[3, 7, 4, 1, 5, 6, 3, 1, 4]"
97,_OQZoK_@t=303 < 57-_SuvJTSe@t=723,"[3, 1, 4, 6, 4, 7, 3, 1, 4]"
98,"_n/14@t=(350,746) == TPi@t=711","[3, 7, 4, 1, 5, 6, 3, 1, 4]"
99,88+rER_wdPp@t=18 == 26-tuvQ_UU_wC@t=353,"[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 4]"
100,"mean kxRO@t=(877,976) >= Ha*2@t=(22,761)","[2, 3, 1, 5, 6, 3, 7, 4, 1, 5]"
101,"gvVB__@t=(18,541) == 62*_@t=(160,903)","[3, 1, 5, 6, 4, 7, 3, 1, 5]"
102,cgN_d@t=504**75 != 65-u_ERA_@t=775,"[3, 1, 4, 7, 4, 6, 4, 7, 3, 1, 4]"
103,"_vp_@t=(170,501) < 16-mCi__aHF@t=410","[3, 1, 5, 6, 4, 7, 3, 1, 4]"
104,"mean u@t=(399,498) != __emux+56@t=680","[2, 3, 1, 5, 6, 3, 7, 4, 1, 4]"
105,"elGmBAE_+36@t=930 > 40+P_GD@t=(506,998)","[3, 7, 4, 1, 4, 6, 4, 7, 3, 1, 5]"
106,"89/RzMberUs@t=(94,378) < min QjhRqu_f@t=(700,927)","[4, 7, 3, 1, 5, 6, 2, 3, 1, 5]"
107,"min KuTy@t=(517,732) > NS@t=523-6","[2, 3, 1, 5, 6, 3, 1, 4, 7, 4]"
108,"Y@t=154 != _VdfPsS@t=(732,837)","[3, 1, 4, 6, 3, 1, 5]"
109,"max __fELteWx@t=(2,99) <= h*90@t=376","[2, 3, 1, 5, 6, 3, 7, 4, 1, 4]"
110,"OW@t=(496,666)/42 == min __TQhq_@t=(200,380)","[3, 1, 5, 7, 4, 6, 2, 3, 1, 5]"
111,"pyX__mQdu@t=(106,757) <= 44+_iXWzq@t=186","[3, 1, 5, 6, 4, 7, 3, 1, 4]"
112,"max Jkmzj@t=(587,933) == _glwIP*62@t=(236,846)","[2, 3, 1, 5, 6, 3, 7, 4, 1, 5]"
113,"_jX__ll_@t=(146,227) != 80/Hw@t=667","[3, 1, 5, 6, 4, 7, 3, 1, 4]"
114,"85/ptaYSlc@t=379 > G@t=(67,90)","[4, 7, 3, 1, 4, 6, 3, 1, 5]"
115,ic_zy_MuZn@t=119 >= zNXvpm@t=658**1,"[3, 1, 4, 6, 3, 1, 4, 7, 4]"
116,"min PE_xEIjV@t=(341,362) == max ZsK_EmoG@t=(255,501)","[2, 3, 1, 5, 6, 2, 3, 1, 5]"
117,"d_f@t=31 <= 94**qfyXi_f_@t=(672,905)","[3, 1, 4, 6, 4, 7, 3, 1, 5]"
118,"5**WHkp@t=(501,703) < 96**t_p_@t=804","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
119,"64+_gSj_NntOe@t=840 >= 98/UXw_xsJ@t=(192,510)","[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 5]"
120,"min ___uzyUgx@t=(20,139) > 95**CDDS@t=886","[2, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
121,tMYGhfly+46@t=685 > o_@t=466,"[3, 7, 4, 1, 4, 6, 3, 1, 4]"
122,"34**zOHlE_tSg@t=(833,917) == Ao_Vw@t=113/75","[4, 7, 3, 1, 5, 6, 3, 1, 4, 7, 4]"
123,"z_l_NjJZv@t=652 == lV_xykX__@t=(259,689)","[3, 1, 4, 6, 3, 1, 5]"
124,"NQn_sPX@t=248 <= max _a@t=(700,877)","[3, 1, 4, 6, 2, 3, 1, 5]"
125,"max J_kQbsLrxG@t=(268,997) > 71/zR@t=776","[2, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
126,"_eCcg@t=275 >= 34*_q_dScV@t=(581,961)","[3, 1, 4, 6, 4, 7, 3, 1, 5]"
127,_WQ_/28@t=886 > __SK/71@t=527,"[3, 7, 4, 1, 4, 6, 3, 7, 4, 1, 4]"
128,AOEbxT@t=781**40 == wWJm@t=935,"[3, 1, 4, 7, 4, 6, 3, 1, 4]"
129,Zom_Hs_fEP+65@t=424 == 42**Uv_hX@t=434,"[3, 7, 4, 1, 4, 6, 4, 7, 3, 1, 4]"
130,"mean IwgScZi_@t=(64,390) < 97/F@t=(16,456)","[2, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
131,"max rQm@t=(508,774) > W@t=(142,852)","[2, 3, 1, 5, 6, 3, 1, 5]"
132,"GgG_e@t=(233,873) != ZsCKN__**31@t=428","[3, 1, 5, 6, 3, 7, 4, 1, 4]"
133,"_AUKst_nL@t=(334,592) >= all TN_bOMy_Vq@t=(492,600)","[3, 1, 5, 6, 2, 3, 1, 5]"
134,"g_m@t=(88,228) <= In_eD_u@t=(123,650)**86","[3, 1, 5, 6, 3, 1, 5, 7, 4]"
135,"IlNAHm_h@t=(96,704)*40 < 77**USg_@t=421","[3, 1, 5, 7, 4, 6, 4, 7, 3, 1, 4]"
136,Ny_rOee_B@t=303 == 83*VM_@t=256,"[3, 1, 4, 6, 4, 7, 3, 1, 4]"
137,t@t=584+15 <= wvYBbEPV@t=593,"[3, 1, 4, 7, 4, 6, 3, 1, 4]"
138,"87/ARB@t=(326,772) == YjzEGP_*94@t=649","[4, 7, 3, 1, 5, 6, 3, 7, 4, 1, 4]"
139,70*yLNQxLFnW@t=178 >= hwKJ@t=342,"[4, 7, 3, 1, 4, 6, 3, 1, 4]"
140,"J_x@t=(171,939) != 65-tgTkBp_@t=(159,264)","[3, 1, 5, 6, 4, 7, 3, 1, 5]"
141,"Ti_KmZ@t=383**1 < i@t=(208,906)","[3, 1, 4, 7, 4, 6, 3, 1, 5]"
142,"11/wONoZU_@t=681 <= 61-vvS@t=(319,969)","[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 5]"
143,"__UbS@t=(595,913) <= cI_Hfpvixn@t=(487,500)","[3, 1, 5, 6, 3, 1, 5]"
144,"Jkf_/69@t=(454,698) >= mean _JkcPjtRW@t=(146,291)","[3, 7, 4, 1, 5, 6, 2, 3, 1, 5]"
145,"xNqidC*6@t=(937,940) < UMf@t=(76,198)","[3, 7, 4, 1, 5, 6, 3, 1, 5]"
146,"kvFa_fF@t=(262,793) < d__R@t=(406,703)","[3, 1, 5, 6, 3, 1, 5]"
147,"H_F_rB@t=597 > mean AzjEefJw@t=(416,523)","[3, 1, 4, 6, 2, 3, 1, 5]"
148,"all RWQMwXT@t=(194,550) > lE_@t=631","[2, 3, 1, 5, 6, 3, 1, 4]"
149,"KgijsHVCU@t=(344,858)*63 >= p@t=(59,119)","[3, 1, 5, 7, 4, 6, 3, 1, 5]"
150,"Y-92@t=(293,902) < 40/i_ImnQwsiZ@t=(177,705)","[3, 7, 4, 1, 5, 6, 4, 7, 3, 1, 5]"
151,X@t=838 > Z_BP@t=985*2,"[3, 1, 4, 6, 3, 1, 4, 7, 4]"
152,NoEn@t=916 != LMOlXm_l_@t=578,"[3, 1, 4, 6, 3, 1, 4]"
153,"mean ajL@t=(10,169) >= 28-_STd_rpd_C@t=167","[2, 3, 1, 5, 6, 4, 7, 3, 1, 4]"
154,"G@t=(859,919) > fjQb_HnM*99@t=(228,733)","[3, 1, 5, 6, 3, 7, 4, 1, 5]"
155,"az_BBnp@t=631 != mean K_qWZet@t=(297,593)","[3, 1, 4, 6, 2, 3, 1, 5]"
156,"HfFVjSfqp@t=526 > 27**zmVOYVGtE@t=(360,866)","[3, 1, 4, 6, 4, 7, 3, 1, 5]"
157,"max s_@t=(97,683) == XdIwOnrHH_/55@t=(225,336)","[2, 3, 1, 5, 6, 3, 7, 4, 1, 5]"
158,"dOVwNo+61@t=(44,732) >= h_O/44@t=447","[3, 7, 4, 1, 5, 6, 3, 7, 4, 1, 4]"
159,"97-efsq_hZ@t=(552,978) < Qb_ayJ+94@t=(425,921)","[4, 7, 3, 1, 5, 6, 3, 7, 4, 1, 5]"
160,99-f@t=609 != Y@t=197+87,"[4, 7, 3, 1, 4, 6, 3, 1, 4, 7, 4]"
161,7-__GTTc@t=645 >= 19*ql_vDQ@t=171,"[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 4]"
162,"ml+59@t=55 <= 30+cz@t=(69,781)","[3, 7, 4, 1, 4, 6, 4, 7, 3, 1, 5]"
163,"dk_WjcU_@t=528 > mean hW@t=(185,839)","[3, 1, 4, 6, 2, 3, 1, 5]"
164,"9*M_CT@t=20 > TeIQk_WSxj@t=(56,782)","[4, 7, 3, 1, 4, 6, 3, 1, 5]"
165,"all DSeqfhrR@t=(57,74) == 2+tai_Vlpz@t=(143,575)","[2, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
166,"VToP@t=(339,539)**53 < fCnjG_Y@t=(213,422)","[3, 1, 5, 7, 4, 6, 3, 1, 5]"
167,72/Zyw_kZlik@t=545 == QQJ_lOvDt_@t=36,"[4, 7, 3, 1, 4, 6, 3, 1, 4]"
168,"ukXTM/94@t=392 != 62**Mt__AKNo@t=(50,871)","[3, 7, 4, 1, 4, 6, 4, 7, 3, 1, 5]"
169,"zVro_sawxS@t=37 == all Q_Bnhe@t=(699,891)","[3, 1, 4, 6, 2, 3, 1, 5]"
170,"H@t=118-55 != min _pbND_g@t=(374,596)","[3, 1, 4, 7, 4, 6, 2, 3, 1, 5]"
171,"EDPYgkhSn@t=414-83 >= 29+UEr@t=(75,142)","[3, 1, 4, 7, 4, 6, 4, 7, 3, 1, 5]"
172,Ro___@t=810 != AiB@t=8,"[3, 1, 4, 6, 3, 1, 4]"
173,"84**uQO@t=(742,950) != 45*VTA_Cz_g@t=(874,885)","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
174,16-_Ws__@t=158 < jUTg+64@t=146,"[4, 7, 3, 1, 4, 6, 3, 7, 4, 1, 4]"
175,"49/WBou@t=(68,992) > 25**S_zWHY@t=(488,947)","[4, 7, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
176,"all Xr_ki@t=(304,574) != 68/f@t=(132,751)","[2, 3, 1, 5, 6, 4, 7, 3, 1, 5]"
177,"32+c_v_kevDXb@t=(250,362) == jwtT@t=(485,824)","[4, 7, 3, 1, 5, 6, 3, 1, 5]"
178,"O__@t=740 >= Ci_/41@t=(79,84)","[3, 1, 4, 6, 3, 7, 4, 1, 5]"
179,"Gbmgu_sh**47@t=(163,806) >= mean kR_K@t=(232,637)","[3, 7, 4, 1, 5, 6, 2, 3, 1, 5]"
180,"_gKw@t=22 >= ZoB@t=(7,834)","[3, 1, 4, 6, 3, 1, 5]"
181,30+HmGpTROvW_@t=22 >= j_c@t=494,"[4, 7, 3, 1, 4, 6, 3, 1, 4]"
182,"dDvqVRAo_X@t=(56,794) > all yZzNQk@t=(86,665)","[3, 1, 5, 6, 2, 3, 1, 5]"
183,Bpk@t=835 >= 85/j__Jy@t=454,"[3, 1, 4, 6, 4, 7, 3, 1, 4]"
184,"all II@t=(141,912) != _tGVnn@t=517","[2, 3, 1, 5, 6, 3, 1, 4]"
185,"33*h_Ik_j@t=(71,675) == zP-23@t=(365,491)","[4, 7, 3, 1, 5, 6, 3, 7, 4, 1, 5]"
186,"75*BgGiCGD@t=(34,281) == all VYbjx_Un@t=(604,644)","[4, 7, 3, 1, 5, 6, 2, 3, 1, 5]"
187,"IVMY*65@t=(323,338) > OyG_qv@t=(237,996)**72","[3, 7, 4, 1, 5, 6, 3, 1, 5, 7, 4]"
188,"X@t=(201,932) <= ayWUq_@t=677","[3, 1, 5, 6, 3, 1, 4]"
189,"NPPHZhhyF@t=(791,882) > gyIo_EIH_K/45@t=(138,557)","[3, 1, 5, 6, 3, 7, 4, 1, 5]"
190,"_Mwa@t=(546,823)**80 == pynRY__t**47@t=(391,600)","[3, 1, 5, 7, 4, 6, 3, 7, 4, 1, 5]"
191,"67+bislKKf@t=473 <= all NvzsU@t=(41,884)","[4, 7, 3, 1, 4, 6, 2, 3, 1, 5]"
192,"FRbRcPcI**80@t=(53,503) >= _WqlF@t=(467,674)","[3, 7, 4, 1, 5, 6, 3, 1, 5]"
193,19*MuFl@t=826 == 78-sp_LGDx@t=184,"[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 4]"
194,"min RHyU_poCKc@t=(43,392) >= all _P@t=(501,799)","[2, 3, 1, 5, 6, 2, 3, 1, 5]"
195,"cdMF@t=(250,519) <= H_HJvr_D@t=493","[3, 1, 5, 6, 3, 1, 4]"
196,"_fkD_tDJ@t=31*30 <= max qtm_Ccf@t=(623,788)","[3, 1, 4, 7, 4, 6, 2, 3, 1, 5]"
197,"6/gP@t=(244,430) < kncrH@t=855","[4, 7, 3, 1, 5, 6, 3, 1, 4]"
198,HUX+64@t=782 != bA_eF_v-71@t=411,"[3, 7, 4, 1, 4, 6, 3, 7, 4, 1, 4]"
199,mJNkTBf@t=662 == h_Cp@t=207-33,"[3, 1, 4, 6, 3, 1, 4, 7, 4]"
200,"SBKiJ_@t=(565,616) > _ggF@t=(336,754)","[3, 1, 5, 6, 3, 1, 5]"
201,"mean sZ@t=(104,780) != tAw_qzvU**46@t=89","[2, 3, 1, 5, 6, 3, 7, 4, 1, 4]"
202,"tecvyMO@t=(344,927) < 65-IZ_s@t=(521,637)","[3, 1, 5, 6, 4, 7, 3, 1, 5]"
203,"max _mVk_NM_M@t=(223,633) > tqfFXJNV**84@t=551","[2, 3, 1, 5, 6, 3, 7, 4, 1, 4]"
204,"6-Rp_l@t=391 != all SZKV@t=(636,971)","[4, 7, 3, 1, 4, 6, 2, 3, 1, 5]"
205,"min x_lSA_jRFD@t=(4,284) <= max _GrDynT@t=(281,446)","[2, 3, 1, 5, 6, 2, 3, 1, 5]"
206,yrzn_ZpVB/27@t=224 <= U@t=935,"[3, 7, 4, 1, 4, 6, 3, 1, 4]"
207,"__b_@t=982 <= NSnl@t=(536,609)","[3, 1, 4, 6, 3, 1, 5]"
208,__CtUbz_r**39@t=59 > 72+_XT@t=191,"[3, 7, 4, 1, 4, 6, 4, 7, 3, 1, 4]"
209,"min MloZy@t=(148,357) == OLRRKT@t=776","[2, 3, 1, 5, 6, 3, 1, 4]"
210,"min _ZWxyB_rZ_@t=(141,488) <= vQPFCqc-52@t=(61,81)","[2, 3, 1, 5, 6, 3, 7, 4, 1, 5]"
211,"sdHZz_vt@t=(622,663)*40 >= 57/w@t=937","[3, 1, 5, 7, 4, 6, 4, 7, 3, 1, 4]"
212,"yu@t=404 > 22/ZYMTPJaKXn@t=(2,932)","[3, 1, 4, 6, 4, 7, 3, 1, 5]"
213,"69+yQPzGqBfk@t=(381,732) <= d_fiZ@t=(230,543)","[4, 7, 3, 1, 5, 6, 3, 1, 5]"
214,"fbo___@t=319+41 == Q*66@t=(665,889)","[3, 1, 4, 7, 4, 6, 3, 7, 4, 1, 5]"
215,"20-e@t=622 > 5*sia_W_@t=(549,717)","[4, 7, 3, 1, 4, 6, 4, 7, 3, 1, 5]"
216,"kU_UHlX*86@t=(680,928) == _baM@t=(389,686)","[3, 7, 4, 1, 5, 6, 3, 1, 5]"
217,"23+mgUSdiZ@t=0 >= mean vcZdeE_@t=(683,866)","[4, 7, 3, 1, 4, 6, 2, 3, 1, 5]"
218,HiamlBgjL@t=480 <= CNrgl@t=399,"[3, 1, 4, 6, 3, 1, 4]"
219,13**soxO_zs@t=634 == QBuqzRP_v*43@t=551,"[4, 7, 3, 1, 4, 6, 3, 7, 4, 1, 4]"
220,rq*52@t=714 == TcgGcey_H@t=349,"[3, 7, 4, 1, 4, 6, 3, 1, 4]"
221,UVqh@t=66 > FD_UVd@t=407,"[3, 1, 4, 6, 3, 1, 4]"
222,6**__NI@t=5 <= Cm_c@t=231*95,"[4, 7, 3, 1, 4, 6, 3, 1, 4, 7, 4]"
